estado,cidade,sorteio,ano,mes,n1,n2,n3,n4,n5,n6,data
ba,salvador,7-12-24-27-30-49,2013,11,7,12,24,27,30,49,2013-11-05
pr,curitiba,3-14-17-32-37-39,2012,11,3,14,17,32,37,39,2012-11-07
pr,campina grande do sul,11-15-17-34-35-49,2013,11,11,15,17,34,35,49,2013-11-09
mt,ribeirãozinho,23-27-35-52-53-57,2013,11,23,27,35,52,53,57,2013-11-10
rj,rio de janeiro,3-7-29-33-42-56,2009,11,3,7,29,33,42,56,2009-11-11
sc,lages,2-6-30-34-35-52,2013,12,2,6,30,34,35,52,2013-12-01
ce,madalena,2-15-26-27-30-52,2011,12,2,15,26,27,30,52,2011-12-02
rj,rio de janeiro,25-34-38-45-53-60,2015,12,25,34,38,45,53,60,2015-12-08
pr,curitiba,15-18-20-32-48-49,2015,12,15,18,20,32,48,49,2015-12-09
ce,barbalha,1-32-38-47-51-54,2011,12,1,32,38,47,51,54,2011-12-11
rj,volta redonda,1-2-10-19-20-37,2013,2,1,2,10,19,20,37,2013-02-13
pr,maringá,3-10-16-23-27-29,2015,6,3,10,16,23,27,29,2015-06-13
ma,codó,43-44-46-53-54-59,2011,7,43,44,46,53,54,59,2011-07-13
ce,viçosa do ceará,4-13-14-40-46-52,2012,10,4,13,14,40,46,52,2012-10-13
sp,são paulo,5-20-23-27-39-49,2010,11,5,20,23,27,39,49,2010-11-13
pe,recife,2-9-10-18-21-28,2013,11,2,9,10,18,21,28,2013-11-13
sc,indaial,2-8-38-42-48-49,2012,1,2,8,38,42,48,49,2012-01-14
es,santa teresa,9-14-37-44-46-55,2015,3,9,14,37,44,46,55,2015-03-14
rj,rio de janeiro,11-13-27-34-46-49,2010,4,11,13,27,34,46,49,2010-04-14
pr,loanda,3-10-15-35-36-58,2014,5,3,10,15,35,36,58,2014-05-14
rj,nova iguaçu,11-14-18-30-33-39,2013,8,11,14,18,30,33,39,2013-08-14
sp,guarulhos,10-16-28-33-48-53,2013,9,10,16,28,33,48,53,2013-09-14
sp,são paulo,3-8-36-40-51-53,2011,1,3,8,36,40,51,53,2011-01-15
sp,são paulo,1-4-13-17-38-48,2014,3,1,4,13,17,38,48,2014-03-15
df,brasília,3-19-22-24-35-49,2012,8,3,19,22,24,35,49,2012-08-15
es,baixo guandú,3-5-9-14-41-46,2015,8,3,5,9,14,41,46,2015-08-15
rj,rio de janeiro,7-16-29-36-38-50,2012,9,7,16,29,36,38,50,2012-09-15
